customerId,name,email,phone,address,avatarUrl,tier,status
C-00001,Pham Van Trung,phamtrung1@gmail.com,0978972120,Ha Noi,,STANDARD,ACTIVE
C-00002,Hoang Van Trung,hoangtrung2@gmail.com,0961608354,Ha Noi,,STANDARD,ACTIVE
C-00003,Le Van Quang,lequang3@gmail.com,0971136949,Ha Noi,,STANDARD,ACTIVE
C-00004,Bui Van Dung,buidung4@gmail.com,0916338106,Ha Noi,,STANDARD,ACTIVE
C-00005,Pham Van Son,phamson5@gmail.com,0933034097,Ha Noi,,DIAMOND,ACTIVE
C-00006,Hoang Van Hung,hoanghung6@gmail.com,0989721566,Ha Noi,,GOLD,ACTIVE
C-00007,Dang Van Linh,danglinh7@gmail.com,0924065078,Ha Noi,,STANDARD,ACTIVE
C-00008,Vu Van Anh,vuanh8@gmail.com,0978667414,Ha Noi,,GOLD,ACTIVE
C-00009,Tran Van Minh,tranminh9@gmail.com,0948074144,Ha Noi,,GOLD,ACTIVE
C-00010,Bui Van Trung,buitrung10@gmail.com,0963533572,Ha Noi,,STANDARD,ACTIVE
C-00011,Dang Van Cuong,dangcuong11@gmail.com,0971022569,Ha Noi,,STANDARD,ACTIVE
C-00012,Le Van Binh,lebinh12@gmail.com,0968914703,Ha Noi,,STANDARD,ACTIVE
C-00013,Vu Van Trung,vutrung13@gmail.com,0930192214,Ha Noi,,STANDARD,ACTIVE
C-00014,Bui Van Quang,buiquang14@gmail.com,0979217821,Ha Noi,,STANDARD,ACTIVE
C-00015,Bui Van Son,buison15@gmail.com,0965172681,Ha Noi,,STANDARD,ACTIVE
C-00016,Pham Van Hung,phamhung16@gmail.com,0947346161,Ha Noi,,STANDARD,ACTIVE
C-00017,Phan Van Phuc,phanphuc17@gmail.com,0957774613,Ha Noi,,SILVER,ACTIVE
C-00018,Phan Van Binh,phanbinh18@gmail.com,0980504415,Ha Noi,,STANDARD,ACTIVE
C-00019,Nguyen Van Minh,nguyenminh19@gmail.com,0982208208,Ha Noi,,STANDARD,ACTIVE
C-00020,Nguyen Van Quang,nguyenquang20@gmail.com,0939983035,Ha Noi,,SILVER,ACTIVE
C-00021,Nguyen Van Khanh,nguyenkhanh21@gmail.com,0943974657,Ha Noi,,STANDARD,ACTIVE
C-00022,Hoang Van Minh,hoangminh22@gmail.com,0925913891,Ha Noi,,SILVER,ACTIVE
C-00023,Vo Van Khanh,vokhanh23@gmail.com,0987231365,Ha Noi,,STANDARD,ACTIVE
C-00024,Phan Van Dung,phandung24@gmail.com,0917257052,Ha Noi,,DIAMOND,ACTIVE
C-00025,Bui Van Hung,buihung25@gmail.com,0968033473,Ha Noi,,STANDARD,ACTIVE
C-00026,Nguyen Van Hung,nguyenhung26@gmail.com,0943531482,Ha Noi,,STANDARD,ACTIVE
C-00027,Vo Van Thanh,vothanh27@gmail.com,0987735344,Ha Noi,,GOLD,ACTIVE
C-00028,Phan Van Khanh,phankhanh28@gmail.com,0958271886,Ha Noi,,SILVER,ACTIVE
C-00029,Bui Van Phuc,buiphuc29@gmail.com,0932054347,Ha Noi,,GOLD,ACTIVE
C-00030,Pham Van Minh,phamminh30@gmail.com,0999187814,Ha Noi,,GOLD,ACTIVE
C-00031,Tran Van Anh,trananh31@gmail.com,0982801814,Ha Noi,,STANDARD,ACTIVE
C-00032,Le Van Son,leson32@gmail.com,0926803617,Ha Noi,,STANDARD,ACTIVE
C-00033,Bui Van Minh,buiminh33@gmail.com,0950494437,Ha Noi,,SILVER,ACTIVE
C-00034,Dang Van Binh,dangbinh34@gmail.com,0996031393,Ha Noi,,STANDARD,ACTIVE
C-00035,Vo Van Cuong,vocuong35@gmail.com,0949667960,Ha Noi,,SILVER,ACTIVE
C-00036,Phan Van Anh,phananh36@gmail.com,0957708341,Ha Noi,,SILVER,ACTIVE
C-00037,Nguyen Van Minh,nguyenminh37@gmail.com,0988475953,Ha Noi,,DIAMOND,ACTIVE
C-00038,Pham Van Trung,phamtrung38@gmail.com,0966515880,Ha Noi,,GOLD,ACTIVE
C-00039,Pham Van Thanh,phamthanh39@gmail.com,0915207837,Ha Noi,,STANDARD,ACTIVE
C-00040,Nguyen Van Hieu,nguyenhieu40@gmail.com,0968462348,Ha Noi,,STANDARD,ACTIVE
C-00041,Vu Van Anh,vuanh41@gmail.com,0957871047,Ha Noi,,SILVER,ACTIVE
C-00042,Le Van Cuong,lecuong42@gmail.com,0963696568,Ha Noi,,STANDARD,ACTIVE
C-00043,Le Van Dung,ledung43@gmail.com,0943490156,Ha Noi,,SILVER,ACTIVE
C-00044,Bui Van Thanh,buithanh44@gmail.com,0994332882,Ha Noi,,SILVER,ACTIVE
C-00045,Vu Van Dung,vudung45@gmail.com,0983910191,Ha Noi,,STANDARD,ACTIVE
C-00046,Vu Van Binh,vubinh46@gmail.com,0939655478,Ha Noi,,STANDARD,ACTIVE
C-00047,Pham Van Phuc,phamphuc47@gmail.com,0953423311,Ha Noi,,SILVER,ACTIVE
C-00048,Nguyen Van Son,nguyenson48@gmail.com,0945017179,Ha Noi,,GOLD,ACTIVE
C-00049,Dang Van Trung,dangtrung49@gmail.com,0990822807,Ha Noi,,STANDARD,ACTIVE
C-00050,Phan Van Phuc,phanphuc50@gmail.com,0968457465,Ha Noi,,STANDARD,ACTIVE
C-00051,Hoang Van Quang,hoangquang51@gmail.com,0968948768,Ha Noi,,STANDARD,ACTIVE
C-00052,Vo Van Trung,votrung52@gmail.com,0990795595,Ha Noi,,STANDARD,ACTIVE
C-00053,Bui Van Thanh,buithanh53@gmail.com,0989748480,Ha Noi,,STANDARD,ACTIVE
