orderId,customerId,customerName,orderDate,totalAmount,status,eventId
O-00001,C-01551,Nguyen Van Nam,2026-06-23,1108000,SUCCESS,EV-003
O-00002,C-00405,Phan Van Thanh,2026-07-10,512000,SUCCESS,EV-002
O-00003,C-01585,Pham Van Hieu,2026-07-10,4582000,SUCCESS,EV-001
O-00004,C-00923,Vu Van Nam,2026-07-03,166000,SUCCESS,EV-006
O-00005,C-00780,Hoang Van Thanh,2026-07-04,2760000,SUCCESS,EV-004
O-00006,C-00970,Vu Van Thanh,2026-07-15,4193000,SUCCESS,EV-001
O-00007,C-01591,Tran Van Hung,2026-07-05,2843000,SUCCESS,EV-007
O-00008,C-01219,Vu Van Linh,2026-06-29,2514000,FAILED,EV-010
O-00009,C-01290,Phan Van Dung,2026-07-05,2695000,SUCCESS,EV-003
O-00010,C-00464,Phan Van Nam,2026-06-25,302000,SUCCESS,EV-009
O-00011,C-01387,Le Van Binh,2026-06-29,3675000,SUCCESS,EV-005
O-00012,C-01786,Le Van Son,2026-07-07,169000,SUCCESS,EV-008
O-00013,C-01625,Tran Van Quang,2026-06-20,4158000,SUCCESS,EV-010
O-00014,C-01883,Dang Van Khanh,2026-06-22,2027000,SUCCESS,EV-010
O-00015,C-01008,Nguyen Van Hieu,2026-07-02,3318000,SUCCESS,EV-009
O-00016,C-01820,Phan Van Hung,2026-06-21,410000,SUCCESS,EV-010
O-00017,C-01700,Bui Van Son,2026-06-20,3465000,SUCCESS,EV-009
O-00018,C-00329,Dang Van Cuong,2026-07-16,3533000,SUCCESS,EV-003
O-00019,C-01026,Vo Van Nam,2026-07-11,451000,FAILED,EV-005
O-00020,C-01931,Phan Van Anh,2026-07-05,1893000,SUCCESS,EV-006
O-00021,C-00732,Vu Van Phuc,2026-07-06,1609000,SUCCESS,EV-006
O-00022,C-00234,Vu Van Phuc,2026-07-13,3751000,SUCCESS,EV-010
O-00023,C-01865,Vu Van Khanh,2026-07-08,2984000,SUCCESS,EV-006
O-00024,C-01190,Vo Van Nam,2026-06-24,4447000,SUCCESS,EV-008
O-00025,C-00477,Nguyen Van Son,2026-07-12,4338000,SUCCESS,EV-004
O-00026,C-01425,Le Van Son,2026-07-09,3809000,SUCCESS,EV-002
O-00027,C-01944,Nguyen Van Dung,2026-07-01,3479000,SUCCESS,EV-001
O-00028,C-00699,Dang Van Binh,2026-07-18,4905000,SUCCESS,EV-008
O-00029,C-00928,Hoang Van Hung,2026-07-08,766000,SUCCESS,EV-010
O-00030,C-01256,Vu Van Linh,2026-07-05,801000,SUCCESS,EV-004
O-00031,C-00919,Pham Van Anh,2026-07-17,3993000,SUCCESS,EV-008
O-00032,C-01362,Bui Van Phuc,2026-07-17,997000,SUCCESS,EV-009
O-00033,C-01255,Bui Van Thanh,2026-07-17,3890000,SUCCESS,EV-007
O-00034,C-00278,Vo Van Hieu,2026-06-22,458000,SUCCESS,EV-005
O-00035,C-00301,Hoang Van Khanh,2026-07-03,1576000,SUCCESS,EV-010
O-00036,C-01061,Vu Van Trung,2026-07-02,1935000,SUCCESS,EV-008
O-00037,C-01513,Le Van Dung,2026-06-24,4613000,SUCCESS,EV-009
O-00038,C-01534,Le Van Hung,2026-06-25,4030000,FAILED,EV-008
O-00039,C-00120,Bui Van Thanh,2026-07-03,3104000,SUCCESS,EV-008
O-00040,C-00400,Bui Van Cuong,2026-06-25,4766000,SUCCESS,EV-001
O-00041,C-00583,Bui Van Hung,2026-06-27,1623000,SUCCESS,EV-008
O-00042,C-00768,Vo Van Trung,2026-06-21,813000,SUCCESS,EV-009
O-00043,C-00573,Pham Van Binh,2026-07-04,3419000,SUCCESS,EV-003
O-00044,C-00603,Bui Van Quang,2026-07-03,4459000,FAILED,EV-009
O-00045,C-01719,Vu Van Hieu,2026-07-07,1429000,SUCCESS,EV-010
O-00046,C-00104,Vo Van Cuong,2026-07-09,1912000,FAILED,EV-009
O-00047,C-01336,Dang Van Thanh,2026-06-30,2339000,SUCCESS,EV-006
O-00048,C-01996,Vu Van Phuc,2026-07-09,1968000,SUCCESS,EV-003
O-00049,C-00067,Tran Van Binh,2026-07-10,1780000,SUCCESS,EV-003
O-00050,C-01195,Bui Van Hung,2026-07-06,2637000,SUCCESS,EV-010
O-00051,C-01121,Tran Van Thanh,2026-06-22,3131000,SUCCESS,EV-004
O-00052,C-00167,Bui Van Thanh,2026-06-25,4032000,SUCCESS,EV-010
O-00053,C-01862,Bui Van Dung,2026-06-19,3661000,SUCCESS,EV-006
O-00054,C-01584,Pham Van Linh,2026-07-15,2752000,SUCCESS,EV-004
O-00055,C-00854,Nguyen Van Dung,2026-07-04,1943000,SUCCESS,EV-005
O-00056,C-01616,Vu Van Phuc,2026-07-01,475000,SUCCESS,EV-001
O-00057,C-01854,Le Van Cuong,2026-06-19,687000,SUCCESS,EV-008
O-00058,C-00055,Dang Van Hung,2026-06-21,383000,SUCCESS,EV-010
O-00059,C-00608,Pham Van Khanh,2026-07-15,4607000,SUCCESS,EV-002
O-00060,C-00251,Vu Van Khanh,2026-07-05,1269000,SUCCESS,EV-006
O-00061,C-00580,Pham Van Linh,2026-06-27,2177000,FAILED,EV-002
O-00062,C-01982,Phan Van Linh,2026-06-23,2108000,SUCCESS,EV-003
O-00063,C-01261,Dang Van Cuong,2026-06-29,3665000,SUCCESS,EV-004
O-00064,C-01741,Bui Van Dung,2026-07-11,3481000,SUCCESS,EV-002
O-00065,C-01883,Dang Van Khanh,2026-07-02,4477000,SUCCESS,EV-002
O-00066,C-01010,Vo Van Son,2026-07-16,557000,SUCCESS,EV-004
O-00067,C-01144,Vo Van Quang,2026-07-10,1836000,SUCCESS,EV-004
O-00068,C-01821,Vu Van Quang,2026-06-30,3112000,SUCCESS,EV-008
O-00069,C-00761,Bui Van Trung,2026-06-21,1645000,SUCCESS,EV-004
O-00070,C-00405,Phan Van Thanh,2026-06-30,1100000,SUCCESS,EV-008
O-00071,C-00937,Bui Van Dung,2026-07-12,1770000,SUCCESS,EV-004
O-00072,C-00073,Phan Van Nam,2026-07-02,695000,SUCCESS,EV-005
O-00073,C-00297,Dang Van Thanh,2026-06-29,581000,SUCCESS,EV-004
O-00074,C-00698,Le Van Minh,2026-07-12,2073000,SUCCESS,EV-002
O-00075,C-01857,Pham Van Cuong,2026-07-09,2828000,SUCCESS,EV-007
O-00076,C-00213,Dang Van Linh,2026-07-15,3846000,SUCCESS,EV-010
O-00077,C-01792,Vu Van Phuc,2026-06-29,3984000,SUCCESS,EV-010
O-00078,C-00021,Tran Van Thanh,2026-07-08,1032000,SUCCESS,EV-004
O-00079,C-01026,Vo Van Nam,2026-07-16,2823000,SUCCESS,EV-007
O-00080,C-01629,Vu Van Minh,2026-07-07,4493000,SUCCESS,EV-002
O-00081,C-00770,Bui Van Hieu,2026-06-25,1724000,SUCCESS,EV-008
O-00082,C-01443,Tran Van Khanh,2026-07-14,4503000,SUCCESS,EV-007
O-00083,C-00573,Pham Van Binh,2026-07-01,3729000,SUCCESS,EV-009
O-00084,C-00630,Le Van Minh,2026-06-26,3504000,SUCCESS,EV-007
O-00085,C-01051,Le Van Trung,2026-07-13,3694000,SUCCESS,EV-005
O-00086,C-00067,Tran Van Binh,2026-06-25,4336000,SUCCESS,EV-006
O-00087,C-00279,Le Van Hieu,2026-06-23,2929000,SUCCESS,EV-006
O-00088,C-00618,Tran Van Dung,2026-06-30,4341000,FAILED,EV-004
O-00089,C-01309,Pham Van Linh,2026-06-22,738000,SUCCESS,EV-010
O-00090,C-01002,Nguyen Van Minh,2026-07-13,992000,SUCCESS,EV-007
O-00091,C-01560,Nguyen Van Linh,2026-07-02,271000,SUCCESS,EV-004
O-00092,C-01280,Pham Van Phuc,2026-06-23,4261000,SUCCESS,EV-010
O-00093,C-00291,Nguyen Van Trung,2026-06-22,1296000,SUCCESS,EV-005
O-00094,C-00335,Le Van Thanh,2026-07-16,3354000,SUCCESS,EV-003
O-00095,C-01922,Hoang Van Cuong,2026-07-01,3940000,SUCCESS,EV-004
O-00096,C-00586,Dang Van Minh,2026-06-27,1912000,SUCCESS,EV-002
O-00097,C-01981,Bui Van Phuc,2026-06-28,3341000,SUCCESS,EV-002
O-00098,C-00831,Dang Van Dung,2026-07-01,749000,SUCCESS,EV-002
O-00099,C-00990,Nguyen Van Anh,2026-07-13,3910000,FAILED,EV-003
O-00100,C-00567,Nguyen Van Son,2026-07-16,1930000,SUCCESS,EV-006
O-00101,C-00048,Le Van Quang,2026-06-24,2266000,SUCCESS,EV-003
O-00102,C-01970,Pham Van Phuc,2026-06-26,2624000,SUCCESS,EV-003
O-00103,C-00112,Hoang Van Anh,2026-07-03,4128000,SUCCESS,EV-005
O-00104,C-01306,Vu Van Linh,2026-06-21,3767000,SUCCESS,EV-008
O-00105,C-00288,Pham Van Son,2026-07-11,2246000,SUCCESS,EV-008
O-00106,C-01127,Bui Van Anh,2026-07-02,2456000,SUCCESS,EV-009
O-00107,C-00077,Le Van Binh,2026-07-09,1078000,SUCCESS,EV-002
O-00108,C-01721,Phan Van Thanh,2026-06-28,1705000,SUCCESS,EV-008
O-00109,C-00973,Nguyen Van Nam,2026-07-15,2749000,SUCCESS,EV-008
O-00110,C-00010,Pham Van Thanh,2026-07-09,3677000,SUCCESS,EV-002
O-00111,C-00041,Bui Van Binh,2026-07-14,3989000,FAILED,EV-002
O-00112,C-00945,Vu Van Phuc,2026-07-11,4554000,SUCCESS,EV-001
O-00113,C-01683,Tran Van Anh,2026-07-13,735000,SUCCESS,EV-008
O-00114,C-00699,Dang Van Binh,2026-07-12,2049000,SUCCESS,EV-001
O-00115,C-01186,Hoang Van Hieu,2026-06-26,197000,SUCCESS,EV-005
O-00116,C-00103,Hoang Van Hung,2026-07-08,1346000,SUCCESS,EV-003
O-00117,C-01671,Nguyen Van Hung,2026-07-08,3879000,SUCCESS,EV-005
O-00118,C-01444,Phan Van Quang,2026-06-22,4765000,SUCCESS,EV-002
O-00119,C-00651,Bui Van Cuong,2026-06-24,4004000,SUCCESS,EV-005
O-00120,C-00182,Tran Van Son,2026-07-16,1053000,SUCCESS,EV-001
O-00121,C-01129,Tran Van Trung,2026-07-02,1885000,SUCCESS,EV-007
O-00122,C-00011,Tran Van Son,2026-07-07,2493000,SUCCESS,EV-009
O-00123,C-01155,Vu Van Son,2026-07-13,3509000,SUCCESS,EV-009
O-00124,C-00996,Tran Van Dung,2026-06-28,4436000,SUCCESS,EV-004
